,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
861,15765,1.579%,3.947%,5.921%,8.684%,11.579%,54.342%,8.158%,4.211%,1.579%,27.551020%
862,15767,0.184%,1.412%,3.234%,9.253%,8.332%,12.098%,50.399%,7.881%,6.285%,0.921%
863,15771,1.563%,0.938%,2.813%,10.000%,5.313%,16.563%,55.000%,3.125%,4.688%,10.666667%
864,15772,0.482%,0.321%,3.852%,4.976%,19.904%,52.648%,4.173%,11.236%,2.408%,1.098901%
865,15774,8.539%,0.352%,3.961%,7.658%,9.595%,15.845%,43.046%,8.187%,1.761%,1.056%
866,15777,20.000%,80.000%,0.000000%,10.914%,16.865%,21.391%,0.000000%,0.000000%,0.000000%,15.484515%
867,15783,32.432%,29.730%,32.432%,5.405%,0.000000%,0.000%,0.000%,0.000%,0.000%,100.000%
868,15920,6.081%,9.459%,19.257%,10.811%,47.635%,3.041%,3.716%,5.797101%,2.105%,11.029%
869,15929,24.138%,0.000%,75.862%,0.000%,-100.000000%,-100.000000%,22.951%,0.000000%,-56.250000%,0.000000%
870,15944,0.248%,0.744%,2.068%,8.768%,12.821%,14.392%,49.049%,7.610%,2.564%,1.737%
871,15949,0.000%,9.360%,27.094%,52.709%,8.867%,1.970%,0.000%,0.000000%,0.000%,2.000%
872,15954,2.899%,9.710%,5.652%,18.551%,50.145%,9.275%,2.609%,1.159%,1.984127%,0.402%
873,15957,8.560%,7.004%,10.506%,5.058%,51.751%,8.560%,4.669%,3.891%,8.064516%,6.944%
874,15961,0.000%,0.000%,2.875%,13.099%,10.543%,10.224%,44.089%,13.419%,4.153%,1.597%
875,16211,0.000%,5.882%,17.647%,11.765%,58.824%,0.000%,5.882%,23.076923%,11.538%,0.000%
876,16222,0.248%,2.602%,9.913%,6.691%,13.259%,49.318%,7.435%,10.161%,0.372%,20.673077%
877,16246,15.294%,1.176%,12.941%,51.765%,16.471%,2.353%,13.333333%,8.571%,19.565%,13.333%
878,16256,0.000%,0.000%,0.826%,5.785%,2.686%,3.926%,30.992%,7.025%,45.661%,3.099%
879,16901,1.538%,3.718%,4.445%,15.572%,7.856%,19.010%,40.872%,5.396%,1.202%,0.391%
880,16911,6.316%,3.158%,7.368%,9.474%,44.211%,22.105%,7.368%,31.707317%,1.351%,6.667%
881,16912,0.000%,4.180%,13.666%,5.627%,20.257%,41.158%,11.897%,1.768%,1.447%,26.219512%
882,16914,1.655%,0.000%,3.862%,8.000%,10.621%,12.414%,54.621%,4.690%,3.724%,0.414%
883,16917,0.205%,0.615%,2.459%,11.680%,7.377%,11.475%,52.869%,5.533%,5.738%,2.049%
884,16920,4.054%,7.703%,4.595%,15.405%,56.216%,7.297%,2.162%,2.568%,13.025210%,6.460%
885,16921,0.455%,0.909%,0.455%,1.818%,10.000%,12.727%,55.909%,15.909%,1.818%,0.000000%
886,16928,0.589%,0.393%,3.143%,5.697%,8.251%,22.004%,46.955%,9.823%,2.161%,0.982%
887,16929,0.569%,1.138%,3.527%,9.784%,8.305%,14.562%,47.782%,8.874%,4.664%,0.796%
888,16930,0.231%,0.463%,5.787%,13.426%,9.028%,21.065%,38.889%,8.333%,1.852%,0.926%
889,16932,0.000%,4.545%,7.851%,9.091%,16.942%,51.240%,4.959%,5.372%,0.000%,22.340426%
890,16933,2.981%,0.723%,8.898%,16.079%,7.453%,15.808%,39.070%,5.917%,2.620%,0.452%
891,16935,0.885%,5.973%,8.850%,9.292%,19.690%,37.832%,13.717%,3.097%,0.664%,13.333333%
892,16936,1.161%,1.032%,3.484%,7.226%,4.258%,13.419%,56.129%,10.065%,2.194%,1.032%
