,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
1647,16061,0.598%,0.697%,4.084%,11.753%,7.470%,19.920%,47.012%,5.578%,1.394%,1.494%
1648,16063,1.960%,2.940%,8.259%,28.511%,10.593%,11.993%,28.931%,4.666%,2.053%,0.093%
1649,16066,2.495%,3.813%,17.919%,37.724%,7.109%,12.889%,16.124%,1.420%,0.385%,0.122%
1650,16127,5.135%,1.931%,6.794%,20.473%,7.044%,10.407%,39.218%,5.340%,2.772%,0.886%
1651,16229,0.337%,0.731%,3.825%,15.636%,12.542%,17.829%,43.026%,4.106%,0.731%,1.237%
1652,16373,0.555%,0.462%,2.957%,11.553%,9.889%,16.543%,47.967%,6.100%,3.882%,0.092%
1653,16930,0.231%,0.463%,5.787%,13.426%,9.028%,21.065%,38.889%,8.333%,1.852%,0.926%
1654,16938,0.000%,2.198%,7.326%,7.692%,15.385%,50.183%,9.158%,6.960%,1.099%,12.903226%
1655,17701,0.945%,3.134%,5.166%,14.382%,7.724%,17.900%,39.125%,9.763%,1.123%,0.739%
1656,17702,0.871%,0.984%,6.521%,11.186%,11.748%,21.529%,40.528%,5.874%,0.618%,0.141%
1657,17723,0.000%,11.111%,11.111%,5.556%,50.000%,22.222%,0.000%,0.000000%,0.000%,12.500%
1658,17724,0.179%,1.668%,1.429%,8.219%,5.122%,8.100%,62.299%,10.423%,2.085%,0.476%
1659,17727,0.000%,17.949%,20.513%,12.821%,33.333%,15.385%,0.000%,0.000000%,10.914%,16.865%
1660,17728,0.983%,1.529%,4.096%,10.978%,15.074%,14.965%,40.688%,9.230%,2.075%,0.382%
1661,17737,0.423%,0.611%,4.374%,11.289%,7.244%,17.121%,47.742%,8.090%,1.834%,1.270%
1662,17739,16.667%,33.333%,50.000%,0.000%,-100.000000%,-100.000000%,28.571%,0.000000%,0.000000%,0.000000%
1663,17740,0.304%,0.584%,1.868%,9.783%,11.487%,17.815%,44.455%,10.553%,2.335%,0.817%
1664,17742,33.333%,0.000%,33.333%,0.000%,33.333%,0.000000%,10.914%,16.865%,25.668%,50.000%
1665,17744,0.538%,0.307%,3.459%,6.226%,9.224%,11.376%,50.884%,10.223%,6.687%,1.076%
1666,17745,0.813%,1.201%,5.523%,12.172%,7.093%,17.861%,43.554%,7.813%,2.346%,1.625%
1667,17752,0.210%,1.468%,2.516%,7.128%,8.945%,20.685%,44.375%,12.159%,1.537%,0.978%
1668,17754,0.560%,1.343%,7.587%,20.927%,10.944%,20.479%,28.380%,7.587%,1.365%,0.828%
1669,17756,0.884%,2.045%,3.676%,16.777%,11.526%,14.815%,37.977%,8.485%,3.261%,0.553%
1670,17758,0.612%,1.835%,6.116%,6.116%,15.291%,57.492%,8.257%,3.670%,0.612%,0.000000%
1671,17762,4.103%,1.026%,3.077%,4.103%,21.538%,16.410%,47.692%,0.000%,2.051%,0.000%
1672,17763,2.222%,17.778%,6.667%,27.778%,31.111%,14.444%,11.111111%,0.000%,29.808%,11.111%
1673,17765,1.026%,1.538%,7.436%,4.615%,10.513%,61.026%,8.974%,2.821%,2.051%,28.368794%
1674,17771,1.225%,0.654%,2.533%,9.069%,8.905%,18.056%,45.180%,11.520%,2.451%,0.408%
1675,17774,0.797%,3.187%,7.968%,4.980%,17.729%,46.414%,15.538%,1.793%,1.594%,10.273973%
1676,17776,0.000%,2.419%,5.645%,2.419%,12.903%,61.290%,13.710%,1.613%,7.142857%,1.149%
1677,17810,1.695%,0.143%,2.125%,3.534%,4.537%,22.111%,50.263%,8.811%,2.483%,4.298%
1678,17814,0.229%,0.343%,5.495%,10.189%,5.266%,17.344%,50.086%,7.212%,2.633%,1.202%
1679,17846,0.225%,0.449%,4.566%,12.350%,10.030%,14.970%,44.611%,9.057%,2.769%,0.973%
1680,17002,0.000%,2.212%,0.885%,3.982%,3.540%,38.053%,21.239%,29.204%,0.885%,3.636364%
1681,17004,0.507%,0.652%,3.186%,12.817%,1.955%,7.458%,40.478%,15.351%,17.161%,0.434%
1682,17009,0.822%,0.987%,5.921%,6.414%,13.816%,55.263%,11.513%,2.138%,3.125%,4.065041%
1683,17029,0.000%,0.000%,71.845%,2.913%,25.243%,0.000000%,0.000%,0.000%,0.000%,0.000%
1684,17044,0.521%,1.098%,1.935%,8.893%,6.258%,15.342%,52.985%,9.579%,2.676%,0.714%
1685,17051,0.000%,1.222%,6.968%,6.235%,11.369%,59.230%,7.213%,6.907%,0.856%,9.316770%
1686,17063,0.582%,0.665%,2.161%,4.489%,4.904%,14.879%,55.445%,4.489%,9.393%,2.993%
1687,17066,0.447%,0.950%,2.236%,6.428%,5.310%,14.254%,53.997%,12.800%,3.130%,0.447%
1688,17075,5.556%,0.000%,8.333%,66.667%,19.444%,0.000%,0.000%,0.000000%,10.914%,16.865%
1689,17084,0.000%,0.709%,9.504%,13.333%,7.660%,11.844%,39.716%,10.284%,5.603%,1.348%
1690,17099,0.000%,0.000%,6.444%,26.969%,38.663%,27.924%,0.000%,60.937500%,4.478%,0.000%
1691,17841,0.118%,1.063%,1.654%,6.143%,5.552%,9.687%,51.329%,12.463%,9.982%,2.008%
1692,16720,2.575%,2.790%,5.150%,14.592%,64.378%,5.579%,1.931%,3.004%,7.936508%,4.225%
1693,16743,0.298%,0.597%,5.742%,12.006%,7.905%,15.063%,47.427%,9.620%,0.447%,0.895%
1694,16746,1.532%,2.845%,5.033%,9.190%,12.035%,59.519%,7.221%,2.626%,10.169492%,1.154%
1695,16748,0.891%,0.000%,1.114%,10.022%,4.343%,18.820%,51.782%,8.241%,3.563%,1.225%
1696,16915,0.242%,1.356%,7.458%,14.625%,7.942%,13.898%,42.373%,7.554%,3.099%,1.453%
1697,16922,0.412%,0.823%,5.075%,8.505%,6.584%,20.850%,47.874%,7.956%,0.960%,0.960%
1698,16923,0.347%,3.993%,5.035%,8.854%,16.493%,53.472%,8.681%,1.910%,1.215%,7.586207%
1699,16927,4.781%,1.195%,6.773%,13.546%,42.231%,27.888%,2.390%,1.195%,0.000000%,3.497%
1700,16937,0.000%,3.604%,0.000%,12.613%,62.162%,10.811%,10.811%,0.000000%,11.765%,0.000%
1701,16941,4.255%,38.298%,53.191%,4.255%,0.000000%,10.914%,16.865%,25.668%,0.000000%,0.000000%
1702,16943,1.031%,1.031%,3.608%,5.155%,8.247%,55.155%,22.165%,1.031%,2.577%,16.129032%
1703,16948,0.377%,1.132%,3.962%,6.981%,7.547%,15.660%,49.811%,13.208%,1.132%,0.189%
1704,16950,0.160%,0.080%,3.197%,5.675%,4.796%,15.667%,49.081%,15.907%,4.636%,0.799%
1705,17729,17.391%,26.087%,47.826%,8.696%,0.000000%,10.914%,16.865%,21.391%,100.000%,35.714286%
1706,15533,0.580%,3.675%,4.642%,8.897%,13.926%,40.812%,24.371%,1.547%,1.547%,2.343750%
1707,15536,1.744%,4.070%,5.814%,6.395%,14.535%,61.047%,6.395%,0.000%,5.084746%,5.155%
1708,16674,0.000%,2.713%,4.651%,4.651%,20.543%,47.674%,16.279%,3.488%,12.500000%,7.965%
1709,16689,6.748%,1.840%,14.110%,15.337%,46.012%,9.202%,4.908%,1.840%,0.000000%,2.083%
1710,16691,4.959%,6.612%,8.264%,10.744%,58.678%,5.785%,3.306%,1.653%,0.000000%,8.621%
1711,16694,5.797%,2.899%,0.000%,4.348%,71.014%,13.043%,0.000%,2.899%,16.666667%,0.000%
1712,17212,2.239%,10.075%,2.239%,7.836%,64.552%,7.836%,2.985%,2.239%,11.363636%,2.614%
1713,17215,12.195%,9.756%,4.878%,4.878%,68.293%,0.000%,0.000%,0.000%,0.000000%,0.000%
1714,17223,0.000%,2.521%,5.042%,3.361%,63.025%,18.487%,7.563%,0.000000%,0.000%,4.545%
1715,17224,0.411%,0.274%,0.959%,2.740%,4.795%,6.164%,70.822%,8.219%,5.068%,0.548%
1716,17228,1.031%,2.577%,6.443%,7.474%,13.144%,56.186%,10.309%,2.062%,0.773%,11.764706%
1717,17229,0.704%,1.878%,9.390%,4.930%,10.563%,61.972%,5.869%,3.521%,1.174%,11.398964%
1718,17233,0.166%,0.608%,2.709%,9.232%,3.980%,15.699%,55.390%,9.176%,2.488%,0.553%
1719,17236,0.134%,0.801%,4.473%,7.777%,6.208%,10.814%,47.130%,17.457%,4.473%,0.734%
1720,17238,0.492%,5.738%,7.049%,5.902%,12.459%,54.590%,9.508%,2.623%,1.639%,12.025316%
1721,17264,0.000%,2.602%,3.346%,7.931%,11.276%,57.249%,11.648%,5.081%,0.867%,3.745318%
1722,17267,1.393%,0.199%,3.682%,6.766%,6.368%,10.647%,56.219%,10.348%,2.985%,1.393%
1723,15870,1.075%,0.000%,5.376%,9.032%,9.247%,9.462%,61.720%,3.226%,0.860%,20.979021%
1724,16333,4.348%,11.304%,4.348%,6.957%,57.391%,15.652%,0.000%,14.705882%,25.532%,5.102%
1725,16701,0.601%,1.890%,4.020%,13.280%,6.270%,18.004%,44.443%,9.277%,1.357%,0.859%
1726,16720,2.575%,2.790%,5.150%,14.592%,64.378%,5.579%,1.931%,3.004%,7.936508%,4.225%
1727,16724,0.000%,4.348%,4.348%,15.217%,10.870%,58.696%,6.522%,0.000%,0.000000%,6.667%
1728,16725,0.000%,29.268%,59.756%,10.976%,0.000000%,0.000%,0.000%,0.000%,23.864%,50.000%
1729,16726,5.579%,11.159%,7.296%,23.176%,37.339%,13.305%,2.146%,50.000000%,5.426%,8.571%
1730,16727,9.859%,11.268%,4.225%,16.901%,49.296%,8.451%,50.000000%,10.914%,16.865%,25.668%
1731,16729,1.423%,0.712%,7.117%,7.473%,15.302%,7.829%,48.754%,3.915%,7.473%,11.363636%
1732,16730,53.333%,46.667%,0.000%,0.000%,100.000000%,26.667%,0.000%,100.000%,0.000%,0.000%
1733,16731,1.566%,0.895%,2.461%,5.369%,9.620%,14.541%,53.356%,6.935%,4.139%,1.119%
1734,16732,1.613%,0.000%,2.688%,1.613%,7.527%,86.559%,0.000%,0.000000%,0.000%,15.882%
1735,16733,12.676%,14.085%,0.000%,42.254%,30.986%,31.818182%,0.000%,11.321%,31.818%,0.000%
1736,16735,0.725%,1.112%,3.530%,10.493%,8.269%,11.267%,55.561%,7.253%,1.257%,0.532%
1737,16738,0.797%,0.455%,6.488%,6.204%,20.831%,56.744%,5.350%,0.114%,3.017%,5.440415%
1738,16740,6.469%,8.086%,2.426%,15.633%,56.334%,8.625%,2.426%,0.000%,10.400000%,6.329%
1739,16743,0.298%,0.597%,5.742%,12.006%,7.905%,15.063%,47.427%,9.620%,0.447%,0.895%
1740,16744,3.810%,19.048%,51.429%,25.714%,0.000000%,10.914%,16.865%,21.391%,0.000000%,100.000000%
1741,16745,3.046%,13.198%,3.046%,13.706%,56.853%,6.599%,3.553%,4.411765%,12.871%,11.538%
1742,16748,0.891%,0.000%,1.114%,10.022%,4.343%,18.820%,51.782%,8.241%,3.563%,1.225%
1743,16749,1.704%,1.500%,5.044%,8.521%,7.975%,15.951%,47.035%,10.361%,1.909%,0.000%
1744,16750,2.326%,0.000%,5.814%,11.628%,8.140%,13.953%,51.163%,5.814%,1.163%,13.953488%
1745,15012,0.869%,1.826%,7.077%,12.798%,11.702%,17.267%,42.114%,4.990%,0.556%,0.800%
1746,15018,3.047%,7.756%,6.371%,6.648%,8.033%,61.496%,6.648%,3.636364%,0.000%,0.000%
1747,15062,0.535%,0.268%,3.249%,15.558%,10.398%,18.310%,39.985%,8.219%,2.485%,0.994%
1748,15068,1.401%,1.341%,6.219%,17.287%,10.499%,16.779%,37.232%,6.621%,1.863%,0.758%
1749,15072,16.949%,83.051%,0.000%,0.000000%,10.914%,16.865%,21.391%,20.000%,0.000000%,0.000000%
1750,15083,1.824%,5.471%,9.422%,24.620%,48.024%,6.079%,2.736%,1.824%,9.890110%,3.902%
1751,15085,1.779%,2.687%,9.652%,20.590%,7.570%,16.048%,37.396%,3.634%,0.000%,0.643%
1752,15087,0.000%,34.568%,33.333%,32.099%,21.739130%,0.000%,0.000%,21.739%,0.000%,27.778%
1753,15089,0.000%,0.569%,6.354%,10.431%,12.707%,18.634%,45.661%,3.746%,1.897%,29.310345%
1754,15131,1.407%,1.372%,5.206%,23.074%,16.215%,19.486%,28.210%,3.236%,1.020%,0.774%
1755,15137,0.254%,0.704%,6.648%,11.296%,7.831%,18.451%,48.056%,5.803%,0.197%,0.761%
1756,15146,2.545%,2.944%,11.597%,25.060%,9.830%,18.523%,24.960%,2.575%,1.307%,0.659%
1757,15448,0.000%,6.723%,76.471%,16.807%,13.114754%,0.000%,0.000%,13.115%,0.000%,100.000%
1758,15479,0.000%,1.355%,5.285%,12.737%,9.485%,21.409%,41.057%,5.962%,1.355%,1.355%
1759,15501,0.337%,2.250%,2.709%,11.878%,8.893%,12.230%,47.405%,10.057%,2.418%,1.822%
1760,15531,0.000%,1.006%,3.823%,11.402%,7.042%,10.731%,52.046%,7.780%,4.896%,1.274%
1761,15601,1.848%,3.022%,8.236%,20.812%,8.910%,16.896%,32.974%,4.415%,2.028%,0.859%
1762,15610,0.824%,1.579%,5.903%,11.599%,9.883%,15.374%,43.377%,7.618%,1.716%,2.128%
1763,15611,3.020%,16.443%,40.604%,2.013%,36.913%,1.007%,0.000%,1.492537%,0.000%,30.918%
1764,15612,2.837%,0.000%,6.383%,0.000%,90.780%,0.000%,0.000%,0.000000%,7.463%,0.000%
1765,15613,0.953%,1.715%,4.764%,12.805%,11.052%,15.587%,47.485%,3.925%,1.353%,0.362%
1766,15615,7.317%,12.195%,1.220%,79.268%,0.000000%,26.316%,8.955%,0.000%,0.000%,58.824%
1767,15616,100.000%,0.000%,0.000000%,0.000000%,0.000000%,12.313400%,7.207502%,6.976214%,32.546256%,29.661433%
1768,15617,1.316%,1.974%,5.921%,4.605%,9.868%,53.947%,17.105%,4.605%,0.658%,3.571429%
1769,15618,0.357%,3.571%,4.167%,7.500%,18.690%,51.786%,11.667%,1.429%,0.833%,5.382436%
1770,15620,0.000%,0.000%,4.893%,9.480%,49.541%,26.300%,9.786%,10.389610%,0.000%,0.000%
1771,15621,0.000%,0.000000%,0.000000%,0.000000%,11.614335%,9.075065%,6.718062%,34.780899%,30.315023%,18.719586%
1772,15622,0.418%,12.762%,6.695%,15.900%,2.720%,35.983%,25.523%,0.000%,5.813953%,5.017%
1773,15623,0.000%,12.033%,7.884%,22.822%,40.249%,12.863%,4.149%,14.285714%,5.000%,23.392%
1774,15624,0.000%,12.000%,16.000%,28.000%,12.000%,24.000%,8.000%,0.000000%,0.000%,15.789%
1775,15625,0.000%,80.702%,0.000%,19.298%,-100.000000%,-100.000000%,100.000%,0.000000%,19.298246%,13.020590%
1776,15626,0.160%,2.618%,10.096%,17.201%,9.936%,11.966%,39.263%,8.761%,0.000%,0.000%
1777,15627,0.788%,2.846%,6.786%,11.252%,25.088%,44.177%,6.042%,1.357%,1.664%,14.774495%
1778,15628,1.931%,0.000%,3.089%,3.089%,14.286%,9.653%,53.282%,10.039%,0.772%,3.861%
1779,15629,3.135%,5.643%,4.075%,26.332%,53.605%,6.270%,0.940%,13.793103%,9.449%,4.255%
1780,15632,5.526%,2.404%,15.048%,22.916%,5.245%,16.828%,26.725%,4.090%,1.218%,0.000%
1781,15633,9.649%,8.772%,67.544%,14.035%,0.000%,0.000000%,0.000%,30.556%,0.000%,47.368%
1782,15634,6.936%,0.000%,0.000%,16.185%,10.405%,49.711%,16.763%,0.000000%,0.000%,5.085%
1783,15635,0.000%,71.875%,0.000000%,0.000%,0.000%,0.000%,0.000%,0.000000%,0.000000%,0.000000%
1784,15636,3.532%,1.619%,11.258%,29.654%,7.579%,13.687%,31.420%,1.251%,0.000%,33.876221%
1785,15637,1.156%,17.486%,7.370%,17.919%,50.578%,4.624%,0.000%,0.867%,17.548747%,6.949%
1786,15638,7.143%,0.000%,27.143%,35.714%,30.000%,13.669065%,10.914%,16.865%,21.391%,20.833%
1787,15639,0.000%,2.564%,1.619%,20.108%,6.073%,15.924%,47.099%,4.453%,2.159%,25.901639%
1788,15640,0.000%,14.054%,21.622%,17.297%,43.784%,3.243%,56.818182%,0.000%,0.000%,56.818%
1789,15641,1.235%,2.469%,10.494%,6.173%,29.012%,40.123%,9.259%,1.235%,16.000000%,4.000%
1790,15642,1.045%,1.181%,9.241%,24.206%,11.777%,16.837%,32.144%,3.091%,0.265%,0.213%
1791,15644,0.381%,0.880%,5.587%,14.856%,11.189%,17.671%,42.807%,5.162%,0.821%,0.645%
1792,15646,0.000%,0.000%,6.757%,13.514%,21.622%,58.108%,0.000%,0.000000%,24.390%,6.061%
1793,15647,18.667%,81.333%,-100.000000%,-100.000000%,0.000000%,0.000000%,0.000000%,12.313400%,7.130926%,4.016913%
1794,15650,2.124%,2.091%,5.347%,13.962%,9.704%,17.959%,41.189%,4.193%,2.548%,0.882%
1795,15655,16.058%,18.978%,8.029%,7.299%,38.686%,10.949%,22.000000%,9.890%,14.545%,22.000%
1796,15656,1.013%,1.281%,5.542%,16.359%,10.221%,13.111%,44.398%,4.708%,3.039%,0.328%
1797,15658,2.779%,3.421%,9.285%,17.471%,6.628%,19.976%,33.720%,5.406%,1.008%,0.305%
1798,15660,0.000%,0.000%,38.060%,34.328%,27.612%,0.000000%,0.000%,0.000%,0.000%,0.000%
1799,15661,0.000%,4.813%,0.000%,20.856%,51.337%,22.995%,0.000000%,0.000%,8.434%,0.000%
1800,15662,-100.000000%,-100.000000%,0.000000%,0.000000%,0.000000%,12.313400%,7.207502%,6.976214%,40.604595%,32.546256%
1801,15663,2.564%,4.487%,10.256%,27.564%,47.436%,4.487%,1.923%,1.282%,23.076923%,4.255%
1802,15665,5.000%,11.818%,12.955%,33.636%,30.909%,0.000%,5.682%,23.487544%,0.000%,4.380%
1803,15666,0.604%,0.949%,4.177%,12.651%,9.562%,15.620%,47.635%,6.783%,1.605%,0.414%
1804,15668,4.821%,4.007%,17.759%,30.071%,8.243%,18.009%,14.044%,2.734%,0.000%,0.313%
1805,15670,0.646%,0.790%,3.374%,9.261%,8.184%,11.630%,59.225%,2.943%,3.733%,0.215%
1806,15671,31.010%,9.059%,22.997%,36.934%,0.000%,7.339450%,20.513%,24.074%,7.339%,26.126%
1807,15672,0.449%,1.421%,4.338%,22.812%,10.247%,15.408%,41.810%,3.141%,0.374%,0.000%
1808,15675,0.305%,0.000%,0.305%,7.927%,3.659%,29.573%,53.354%,2.134%,2.744%,4.324324%
1809,15676,13.821%,0.000%,0.000%,0.000%,74.797%,11.382%,64.423077%,0.000%,0.000%,64.423%
1810,15677,2.740%,9.589%,19.178%,3.425%,8.219%,50.685%,6.164%,0.000%,100.000000%,7.463%
1811,15678,9.333%,13.333%,4.000%,56.000%,12.667%,4.667%,0.000000%,7.143%,17.172%,0.000%
1812,15679,0.000%,0.890%,2.374%,8.506%,5.045%,11.177%,63.996%,5.737%,1.682%,0.593%
1813,15680,10.000%,0.000%,32.500%,0.000%,37.500%,20.000%,31.818182%,0.000%,0.000%,31.818%
1814,15681,0.113%,0.340%,2.377%,14.375%,11.149%,15.507%,46.180%,6.848%,2.151%,0.962%
1815,15683,0.000%,1.113%,5.673%,11.490%,10.844%,20.539%,45.206%,3.483%,1.221%,0.431%
1816,15684,0.000%,8.088%,2.206%,3.676%,82.353%,1.838%,1.838%,0.000000%,2.778%,12.281%
1817,15687,0.000%,2.128%,1.915%,7.234%,11.277%,65.319%,7.660%,1.064%,3.404%,5.228758%
1818,15688,0.000%,17.889%,5.572%,14.663%,56.305%,2.639%,2.933%,7.476636%,5.181%,13.609%
1819,15689,30.573%,61.146%,8.280%,0.000000%,0.000%,0.000%,0.000%,0.000%,100.000%,78.651685%
1820,15690,0.000%,0.811%,3.347%,8.012%,9.669%,16.160%,50.406%,8.485%,2.502%,0.609%
1821,15691,0.000000%,12.313400%,10.377562%,7.130926%,33.644618%,30.903052%,29.333279%,4.085016%,3.336158%,2.377058%
1822,15692,2.204%,15.431%,13.627%,11.423%,43.086%,11.423%,0.000%,2.806%,15.625000%,9.489%
1823,15693,-100.000000%,-100.000000%,0.000000%,0.000000%,0.000000%,12.313400%,7.130926%,6.749356%,33.644618%,30.315023%
1824,15695,7.051%,0.000%,12.821%,0.000%,64.103%,16.026%,11.428571%,0.000%,0.000%,11.429%
1825,15696,4.587%,10.092%,12.844%,14.679%,47.706%,5.505%,4.587%,0.000000%,0.000%,13.636%
1826,15697,0.000%,2.791%,11.261%,12.320%,19.442%,42.830%,9.817%,0.577%,0.962%,17.942584%
1827,15698,10.922%,0.000%,9.898%,76.109%,3.072%,0.000000%,13.546%,11.635%,0.000%,33.333%
1828,15717,0.478%,0.816%,2.644%,8.579%,10.661%,17.187%,50.295%,7.876%,1.210%,0.253%
1829,15779,1.656%,3.974%,0.000%,1.656%,15.232%,9.272%,58.940%,6.623%,2.649%,21.367521%
1830,15923,2.140%,7.004%,11.673%,12.646%,57.977%,6.226%,1.556%,0.778%,15.763547%,3.195%
1831,15944,0.248%,0.744%,2.068%,8.768%,12.821%,14.392%,49.049%,7.610%,2.564%,1.737%
1832,15954,2.899%,9.710%,5.652%,18.551%,50.145%,9.275%,2.609%,1.159%,1.984127%,0.402%
1833,16229,0.337%,0.731%,3.825%,15.636%,12.542%,17.829%,43.026%,4.106%,0.731%,1.237%
1834,17045,0.276%,2.022%,3.309%,9.559%,9.375%,9.835%,46.507%,12.500%,5.055%,1.563%
1835,17063,0.582%,0.665%,2.161%,4.489%,4.904%,14.879%,55.445%,4.489%,9.393%,2.993%
1836,17086,1.272%,0.382%,2.672%,5.216%,4.326%,6.361%,62.723%,9.288%,5.471%,2.290%
1837,17812,1.078%,3.233%,4.310%,8.621%,12.931%,44.612%,17.672%,6.897%,0.647%,5.263158%
1838,17813,0.274%,2.873%,9.986%,6.703%,12.175%,52.257%,11.902%,2.189%,1.642%,13.524590%
1839,17827,0.722%,2.888%,9.386%,15.523%,14.801%,45.487%,8.303%,2.888%,3.125000%,0.000%
1840,17841,0.118%,1.063%,1.654%,6.143%,5.552%,9.687%,51.329%,12.463%,9.982%,2.008%
1841,17842,0.102%,0.614%,1.774%,8.905%,7.813%,12.010%,53.907%,10.133%,3.548%,1.194%
1842,17853,0.279%,0.000%,2.047%,4.930%,4.465%,7.721%,47.163%,20.837%,11.163%,1.395%
1843,17861,51.111%,0.000%,0.000%,24.444%,0.000000%,10.914%,16.865%,21.391%,100.000%,45.000%
1844,17862,0.000%,1.674%,7.950%,5.021%,18.410%,65.272%,1.674%,0.000%,0.000000%,0.000%
1845,17864,0.442%,1.622%,0.442%,7.965%,4.130%,7.817%,37.021%,15.929%,22.419%,2.212%
1846,17870,2.317%,2.572%,3.061%,17.152%,7.545%,10.563%,43.719%,9.734%,2.550%,0.786%
1847,17876,0.716%,0.894%,4.472%,14.132%,11.628%,28.265%,38.819%,0.000%,1.073%,0.000%
1848,17889,1.300%,1.625%,6.609%,14.410%,6.501%,15.601%,39.220%,5.850%,7.367%,1.517%
1849,18030,0.946%,2.208%,3.470%,14.196%,14.826%,53.312%,9.779%,1.262%,6.329114%,6.593%
1850,18058,0.000%,0.359%,2.261%,16.685%,6.481%,18.478%,48.345%,3.944%,3.089%,0.359%
1851,18071,2.088%,0.467%,2.583%,9.096%,9.398%,15.114%,43.034%,12.943%,3.737%,1.539%
1852,18201,0.201%,0.520%,3.549%,7.748%,7.476%,14.206%,43.873%,14.419%,6.979%,1.029%
1853,18210,0.000%,0.000%,8.560%,14.517%,4.186%,22.926%,42.308%,6.976%,0.528%,13.261649%
1854,18211,9.489%,12.956%,3.102%,28.832%,41.058%,2.007%,2.555%,5.177994%,11.667%,16.290%
1855,18212,10.769%,18.462%,9.231%,24.615%,36.923%,0.000000%,0.000%,0.000%,0.000%,0.000%
1856,18216,3.429%,7.714%,3.714%,11.714%,69.429%,2.286%,1.714%,3.508772%,2.242%,9.281%
1857,18229,0.347%,1.134%,3.970%,14.493%,6.112%,13.642%,49.149%,9.357%,0.945%,0.851%
1858,18230,14.286%,14.286%,71.429%,0.000%,0.000000%,10.914%,16.865%,25.668%,0.000000%,0.000000%
1859,18232,3.949%,6.082%,14.613%,17.062%,45.419%,10.427%,2.449%,0.000%,4.014599%,2.536%
1860,18235,0.144%,1.198%,5.527%,11.372%,9.482%,11.704%,49.011%,10.088%,1.371%,0.101%
1861,18237,1.283%,0.367%,3.850%,5.041%,8.433%,18.057%,54.537%,7.241%,0.733%,0.458%
1862,18240,0.000%,1.575%,6.452%,12.003%,6.527%,15.754%,45.836%,6.077%,4.351%,1.425%
1863,18244,1.550%,0.000%,4.651%,3.876%,64.341%,21.705%,2.326%,1.550%,0.000000%,2.532%
1864,18250,1.388%,3.556%,1.041%,8.153%,12.749%,15.178%,54.120%,3.816%,0.000%,0.000%
1865,18254,0.000%,0.000%,3.226%,13.196%,19.648%,60.704%,3.226%,0.000%,4.651163%,0.000%
1866,18255,0.174%,0.753%,1.970%,8.864%,9.618%,20.104%,49.247%,6.141%,2.549%,0.579%
1867,18610,2.595%,7.405%,7.025%,29.557%,46.139%,5.063%,2.215%,13.930348%,1.449%,5.274%
1868,18624,25.414%,28.177%,2.762%,13.260%,23.757%,7.936508%,3.597%,40.120%,7.937%,24.242%
1869,18661,0.274%,0.685%,3.973%,10.502%,10.000%,21.553%,45.982%,4.749%,1.963%,0.320%
1870,16611,0.113%,0.338%,3.608%,12.514%,4.397%,13.529%,56.933%,5.975%,0.789%,1.804%
1871,16621,4.435%,0.000%,8.871%,10.081%,57.258%,12.903%,4.839%,1.613%,0.000000%,2.381%
1872,16622,8.955%,13.433%,4.478%,59.701%,8.955%,4.478%,17.142857%,0.000%,9.231%,17.143%
1873,16623,1.481%,0.000%,2.963%,9.630%,4.444%,10.370%,56.296%,9.630%,0.000%,5.185%
1874,16634,4.237%,0.000%,7.627%,12.712%,66.102%,4.237%,5.085%,13.636364%,0.000%,0.000%
1875,16638,23.077%,0.000%,0.000%,0.000%,69.231%,7.692%,0.000000%,0.000%,0.000%,0.000%
1876,16647,1.115%,2.974%,17.472%,4.461%,18.216%,45.353%,5.948%,4.461%,0.000%,15.068493%
1877,16652,1.783%,0.603%,2.823%,7.262%,5.466%,17.013%,51.732%,10.880%,0.949%,1.488%
1878,16657,1.822%,0.000%,3.846%,7.490%,4.453%,17.409%,55.466%,5.466%,2.834%,1.215%
1879,16669,2.615%,0.872%,6.351%,8.966%,6.476%,14.819%,49.564%,6.476%,3.113%,0.747%
1880,16674,0.000%,2.713%,4.651%,4.651%,20.543%,47.674%,16.279%,3.488%,12.500000%,7.965%
1881,16678,0.346%,0.807%,4.037%,10.957%,5.767%,14.994%,47.290%,11.419%,3.691%,0.692%
1882,16683,4.878%,6.098%,11.585%,10.366%,14.024%,50.610%,2.439%,0.000%,0.000%,19.444444%
1883,16685,0.000%,3.846%,7.692%,7.692%,51.923%,25.000%,3.846%,0.000000%,0.000%,12.245%
1884,16686,0.331%,0.486%,4.660%,11.617%,8.392%,14.664%,51.502%,5.367%,1.921%,1.060%
1885,16694,5.797%,2.899%,0.000%,4.348%,71.014%,13.043%,0.000%,2.899%,16.666667%,0.000%
1886,16865,11.758%,3.325%,11.164%,25.534%,2.494%,14.252%,22.090%,9.382%,36.702128%,11.825%
1887,16877,3.687%,0.000%,3.982%,17.257%,12.832%,16.077%,40.855%,2.802%,2.507%,24.081633%
1888,17002,0.000%,2.212%,0.885%,3.982%,3.540%,38.053%,21.239%,29.204%,0.885%,3.636364%
1889,17052,0.746%,3.358%,3.918%,16.045%,60.634%,8.955%,5.410%,0.933%,1.970443%,4.248%
1890,17060,0.877%,1.316%,6.140%,3.728%,17.325%,54.825%,9.211%,4.605%,1.974%,3.333333%
1891,17066,0.447%,0.950%,2.236%,6.428%,5.310%,14.254%,53.997%,12.800%,3.130%,0.447%
