,county,zipcode
957,Jefferson-County,15851
958,Jefferson-County,15853
959,Jefferson-County,15860
960,Jefferson-County,15863
961,Jefferson-County,15864
962,Jefferson-County,15865
963,Jefferson-County,16217
964,Jefferson-County,16222
965,Jefferson-County,16240
966,Beaver-County,15001
967,Beaver-County,15003
968,Beaver-County,15005
969,Beaver-County,15009
970,Beaver-County,15010
971,Beaver-County,15026
972,Beaver-County,15027
973,Beaver-County,15042
974,Beaver-County,15043
975,Beaver-County,15050
976,Beaver-County,15052
977,Beaver-County,15059
978,Beaver-County,15061
979,Beaver-County,15066
980,Beaver-County,15074
981,Beaver-County,15077
982,Beaver-County,15081
983,Beaver-County,15143
984,Beaver-County,16037
985,Beaver-County,16063
986,Beaver-County,16115
987,Beaver-County,16117
988,Beaver-County,16120
989,Beaver-County,16123
990,Beaver-County,16136
991,Beaver-County,16141
992,Beaver-County,16157
993,Blair-County,15946
994,Blair-County,16601
995,Blair-County,16602
996,Blair-County,16613
997,Blair-County,16617
998,Blair-County,16625
999,Blair-County,16631
1000,Blair-County,16635
1001,Blair-County,16636
1002,Blair-County,16637
1003,Blair-County,16641
1004,Blair-County,16648
1005,Blair-County,16655
1006,Blair-County,16662
1007,Blair-County,16665
1008,Blair-County,16673
1009,Blair-County,16682
1010,Blair-County,16686
1011,Blair-County,16693
1012,Lebanon-County,17003
1013,Lebanon-County,17010
1014,Lebanon-County,17016
1015,Lebanon-County,17026
1016,Lebanon-County,17028
1017,Lebanon-County,17033
1018,Lebanon-County,17038
1019,Lebanon-County,17039
1020,Lebanon-County,17041
1021,Lebanon-County,17042
1022,Lebanon-County,17046
1023,Lebanon-County,17064
1024,Lebanon-County,17067
1025,Lebanon-County,17073
1026,Lebanon-County,17077
1027,Lebanon-County,17078
1028,Lebanon-County,17083
1029,Lebanon-County,17087
1030,Lebanon-County,17088
1031,Lebanon-County,17545
1032,Lebanon-County,17963
1033,Lebanon-County,19551
1034,Lehigh-County,18011
1035,Lehigh-County,18015
1036,Lehigh-County,18016
1037,Lehigh-County,18017
1038,Lehigh-County,18018
1039,Lehigh-County,18031
1040,Lehigh-County,18032
1041,Lehigh-County,18034
1042,Lehigh-County,18036
1043,Lehigh-County,18037
1044,Lehigh-County,18041
1045,Lehigh-County,18046
1046,Lehigh-County,18049
1047,Lehigh-County,18051
1048,Lehigh-County,18052
1049,Lehigh-County,18053
