,County,School,% Advanced,% Proficient,% Basic,% Below Basic
525,CUMBERLAND,EAST PENNSBORO EL SCH,24.7,41.3,23.96,10.04
526,LANCASTER,EAST PETERSBURG EL SCH,26.95,37.65,26.76,8.7
527,INDIANA,EAST PIKE EL SCH,38.6,38.65,17.1,5.7
528,CHESTER,EAST PIKELAND EL SCH,42.57,39.69,13.3,4.43
529,CAMBRIA,EAST SIDE EL SCH,7.4,30.67,30.28,31.64
530,MONROE,EAST STROUDSBURG EL SCH,32.14,35.56,23.57,8.67
531,ALLEGHENY,EAST UNION INTERMED CTR,20.2,41.61,22.89,15.32
532,CHESTER,EAST WARD EL SCH,40.17,36.21,17.68,5.94
533,YORK,EAST YORK EL SCH,34.46,39.01,17.67,8.85
534,CENTRE,EASTERLY PARKWAY EL,26.62,38.42,21.64,13.28
535,LEBANON,EASTERN LEBANON CO M,12.93,28.33,31.67,27.13
536,PHILADELPHIA,EASTERN UNIVERSITY ACAD CS,0.52,11.41,30.02,58.05
537,YORK,EASTERN YORK MS,25.0,39.3,23.68,12.06
538,LEBANON,EBENEZER EL SCH,29.75,40.33,20.08,9.8
539,BEAVER,ECONOMY EL SCH,33.66,37.23,21.49,7.66
540,DELAWARE,EDDYSTONE EL SCH,12.68,39.4,27.2,20.62
541,ALLEGHENY,EDEN HALL UPPER EL SCH,42.32,39.54,13.67,4.52
542,DELAWARE,EDGEWOOD EL SCH,13.6,35.99,26.52,23.89
543,BUCKS,EDGEWOOD ELEM,35.56,43.09,17.06,4.29
544,ALLEGHENY,EDGEWORTH EL SCH,45.07,35.41,15.1,4.42
545,ERIE,EDINBORO EL SCH,34.3,40.22,18.4,7.14
546,ERIE,EDISON EL SCH,2.84,19.66,29.38,48.11
547,PHILADELPHIA,EDMONDS FRANKLIN S SCH,2.18,18.01,32.8,47.01
548,CHESTER,EDUCATION PLUS ACADEMY CYBER CS,7.82,21.9,20.84,49.49
549,WARREN,EISENHOWER EL SCH,37.02,35.99,19.43,7.56
550,MONTGOMERY,EISENHOWER MS,5.79,28.15,34.35,31.71
551,WARREN,EISENHOWER MS/HS,13.79,30.64,34.4,21.21
