,County,Higher Degree,H.S. Diploma,No H.S. Diploma
573,17219,13.503650%,47.080292%,39.416058%
574,17220,15.625000%,54.296875%,30.078125%
575,17221,18.508287%,67.955801%,13.535912%
576,17222,36.992989%,50.888833%,12.118177%
577,17224,12.027027%,74.797297%,13.175676%
578,17225,27.472366%,62.232867%,10.294768%
579,17235,42.049470%,42.756184%,15.194346%
580,17236,22.606889%,57.382725%,20.010386%
581,17237,20.777989%,68.311195%,10.910816%
582,17240,20.191055%,57.881025%,21.927920%
583,17244,19.661610%,66.336056%,14.002334%
584,17246,8.411215%,91.588785%,0.000000%
585,17247,33.568075%,32.394366%,34.037559%
586,17250,0.000000%,100.000000%,0.000000%
587,17251,25.217391%,66.956522%,7.826087%
588,17252,22.516804%,57.057506%,20.425691%
589,17254,33.333333%,0.000000%,66.666667%
590,17256,42.666667%,24.000000%,33.333333%
591,17257,26.961432%,55.863270%,17.175297%
592,17261,7.361963%,53.987730%,38.650307%
593,17262,28.989899%,50.909091%,20.101010%
594,17263,25.000000%,44.166667%,30.833333%
595,17265,10.617284%,72.098765%,17.283951%
596,17268,27.722439%,59.511092%,12.766469%
597,17270,51.020408%,48.979592%,0.000000%
598,17271,12.068966%,56.896552%,31.034483%
599,17272,42.662116%,28.327645%,29.010239%
600,17527,18.571816%,53.923432%,27.504752%
