,County,Higher Degree,H.S. Diploma,No H.S. Diploma
549,18655,24.769585%,64.239631%,10.990783%
550,18656,32.460414%,60.109622%,7.429963%
551,18660,27.398844%,62.196532%,10.404624%
552,18661,27.461019%,64.347219%,8.191762%
553,18701,33.553174%,51.690025%,14.756801%
554,18702,27.035685%,58.150190%,14.814125%
555,18704,38.875949%,54.554865%,6.569186%
556,18705,25.888469%,62.013233%,12.098299%
557,18706,29.702016%,61.340929%,8.957055%
558,18707,46.616933%,48.204372%,5.178695%
559,18708,50.412718%,45.337817%,4.249465%
560,18709,27.750557%,57.594655%,14.654788%
561,17045,24.376731%,58.448753%,17.174515%
562,17063,15.689655%,64.870690%,19.439655%
563,17086,15.921963%,67.400881%,16.677155%
564,17812,15.434783%,63.804348%,20.760870%
565,17813,19.863014%,65.547945%,14.589041%
566,17827,30.581614%,59.849906%,9.568480%
567,17841,17.482100%,60.590692%,21.927208%
568,17842,20.686159%,65.455467%,13.858374%
569,17853,12.358491%,55.471698%,32.169811%
570,17861,63.414634%,36.585366%,0.000000%
571,17862,12.953368%,77.979275%,9.067358%
572,17864,15.461704%,48.604152%,35.934145%
573,17870,33.219796%,53.346023%,13.434182%
574,17876,30.929487%,61.298077%,7.772436%
575,17889,35.360000%,51.093333%,13.546667%
576,15832,18.750000%,64.453125%,16.796875%
577,15834,25.960637%,62.168072%,11.871290%
578,15861,16.949153%,63.559322%,19.491525%
579,16720,12.273212%,73.212380%,14.514408%
580,16038,25.197472%,61.927330%,12.875197%
581,16127,40.214962%,50.952432%,8.832606%
582,16153,28.025478%,62.154989%,9.819533%
583,16232,27.751835%,61.607738%,10.640427%
584,16301,27.306273%,63.995783%,8.697944%
585,16311,29.133858%,62.729659%,8.136483%
586,16314,21.652720%,65.010460%,13.336820%
587,16317,17.448405%,72.232645%,10.318949%
588,16319,21.505376%,72.150538%,6.344086%
589,16323,24.673160%,63.156971%,12.169869%
590,16341,26.214286%,65.428571%,8.357143%
591,16342,18.269778%,62.492886%,19.237336%
592,16343,34.782609%,57.453416%,7.763975%
593,16344,16.802168%,73.170732%,10.027100%
594,16346,26.353039%,62.073272%,11.573689%
595,16353,22.583779%,60.903351%,16.512870%
596,16354,23.394557%,64.633329%,11.972114%
597,16362,21.395881%,64.759725%,13.844394%
598,16364,21.040189%,66.430260%,12.529551%
599,16372,20.886076%,68.987342%,10.126582%
600,16373,25.884460%,64.532020%,9.583520%
